Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
14,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,10,10,6;6,12,11,8;10,2,6,10;12,8,5,6;11,5,11,5;11,8,5,2;12,2,8,2"
15,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,2,2,2;1,1,2,2;1,2,2,2;1,1,2,2;1,2,2,2;1,2,2,2","6,8,5,12;5,5,12,8;11,2,6,2;11,11,2,5;11,6,2,12;8,6,12,8"
16,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,5,2,12;6,8,5,8;11,6,11,12;2,6,5,5;2,12,11,8;12,11,2,8"
17,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,12,2;6,10,5,12;8,5,12,11;11,2,11,12;5,6,10,6;8,11,2,6;8,10,5,10"
18,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,2,8,5;5,11,10,8;8,5,2,10;6,10,12,6;2,12,5,2;11,8,10,6;12,11,11,12"
19,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,11,8,8;5,10,2,6;5,12,5,12;8,5,8,10;11,11,6,2;10,2,12,10;12,6,6,2"
20,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","5,5,10,2;12,10,2,11;10,6,8,2;11,8,5,8;5,11,11,8;6,2,12,12;10,12,6,6"
21,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,5,6,8;12,2,12,5;5,8,8,12;2,2,6,5;6,8,2,6"
22,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,12,6,5;12,6,8,1;12,6,8,8;2,11,10,1;2,10,5,5;12,6,8,1;2,11,11,1;2,10,5,10"
23,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,2,6,11;11,12,8,8;5,11,11,12;2,2,12,6;8,6,6,8;2,5,12,5"
24,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,10,8,5;8,6,8,11;2,5,6,12;5,2,12,11;10,12,10,8;11,6,5,10;2,11,12,2"
25,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","5,12,6,12;2,11,5,11;2,8,11,10;8,12,6,6;2,11,10,5;6,5,12,8;2,10,8,10"
26,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,10,1,1;2,6,2,8;5,11,5,11;10,8,1,12;2,6,2,10;8,6,5,5;6,11,11,12;10,12,1,12"
27,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,12,5,11;6,12,11,8;6,2,11,8;2,11,8,8;5,5,6,12;2,6,12,5"
28,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,12,10,2;8,5,12,10;12,10,6,8;6,5,5,11;2,11,11,8;6,6,11,5;12,8,2,10"
29,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,8,6,5;2,12,10,11;2,5,12,5;8,10,6,12;12,10,11,11;8,2,10,6;11,6,5,2"
30,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","11,5,1,8;6,10,2,8;12,2,8,10;5,1,6,11;10,5,11,1;12,6,10,12;12,5,8,6;1,2,11,2"
31,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,11,10;6,10,11,5;10,12,5,11;12,2,6,5;12,6,2,8;6,11,8,5;8,12,10,2"
32,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,6,12,1;8,1,2,12;11,11,8,8;10,11,6,6;8,11,12,6;2,10,10,10;12,5,2,5;5,1,2,1"
33,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,11,10,2;12,1,12,1;10,6,1,6;11,6,2,8;8,10,6,12;9,11,9,5;2,5,2,9;11,8,10,12;1,5,9,5"
34,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,5,10,11;8,11,2,12;8,8,12,11;10,6,12,5;2,6,2,5;8,12,10,11;6,10,6,5"
35,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","10,8,6,11;2,12,11,12;6,10,8,10;2,8,6,8;2,5,12,10;2,6,11,5;5,12,5,11"
36,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,1,5,1;6,1,10,11;6,2,11,6;5,8,12,10;6,8,10,2;11,8,5,12;8,12,2,5;2,11,1,10"
37,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,9,11,12;5,2,9,2;11,10,5,12;8,1,8,8;6,1,9,12;5,11,9,1;10,2,12,2;6,8,10,10;5,1,6,6"
38,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","1,8,10,10;5,9,5,9;5,6,2,12;12,10,12,12;9,5,8,6;6,11,6,11;8,1,8,2;11,9,11,10;2,1,2,1"
39,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,1,8,10;9,6,8,12;6,9,12,9;10,11,5,1;9,8,2,8;11,5,2,6;2,12,5,12;11,10,1,5;2,11,10,1"
40,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,8,2,6;9,5,6,2;6,1,1,12;11,5,12,1;9,10,9,12;10,12,1,5;10,8,2,5;10,9,6,11;8,11,8,11"
41,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,1,6;2,8,6,1;12,10,1,8;12,10,12,2;10,9,9,8;12,5,9,1;10,11,6,9;6,11,5,11;11,5,2,5"
42,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,8,12,2;6,11,2,8;6,5,2,2;5,12,8,10;11,12,10,6;10,11,10,11;6,5,12,8"
43,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,2,12,10;10,2,10,5;10,8,8,6;6,11,11,8;11,12,5,2;6,12,5,11;8,6,2,5"
44,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","1,11,2,6;5,6,5,8;8,9,8,6;12,10,5,2;5,6,12,10;9,1,11,12;11,1,10,2;12,10,1,9;9,8,2,11"
45,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,1,2,2;1,1,2,2;1,2,2,2;1,2,2,2;1,2,2,2","6,12,6,11;10,2,5,10;8,8,6,5;5,5,11,12;10,2,12,10;11,8,11,12;2,8,2,6"
46,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,2,6,12;5,8,5,9;9,1,5,1;8,10,12,9;11,5,11,11;10,8,2,12;1,9,8,1;2,10,6,10;11,6,2,12"
47,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,9,12,11;2,5,10,5;2,10,5,6;10,8,6,11;9,9,12,11;9,5,11,8;2,8,1,8;6,1,6,1;10,2,1,12"
48,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,12,2,12;11,10,11,5;8,10,2,5;5,8,2,12;6,2,6,12;10,11,10,8;11,6,6,8"
49,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,5,12,8;2,2,2,11;11,1,12,9;5,12,5,1;9,9,6,8;10,10,6,11;8,1,12,5;9,11,1,10;2,10,6,6"
50,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","9,5,12,2;8,5,9,12;10,9,2,11;1,10,8,9;11,8,11,8;11,10,5,1;5,2,1,6;6,1,2,6;10,12,6,12"
51,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,12,6,10;11,2,8,5;2,6,2,8;10,11,5,2;12,5,11,6;8,11,8,10;12,10,6,12"
52,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,2,1,9;11,8,5,10;5,10,1,8;10,5,1,8;6,2,12,9;6,2,1,12;12,2,9,10;12,11,11,11;9,5,6,8"
53,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","10,12,2,8;2,12,2,9;5,10,11,9;5,6,11,1;10,6,2,1;1,9,1,6;5,8,5,12;9,12,11,8;10,8,11,6"
54,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,8,11,6;12,2,5,10;2,11,2,5;6,11,6,11;8,6,2,12;10,8,12,8;10,5,10,5"
55,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,1,2,2;1,2,2,2;1,2,2,2;1,1,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,10,10,9;6,6,12,10;1,9,6,12;9,11,12,6;8,8,1,9;5,10,5,11;8,2,11,2;8,2,11,5;1,12,5,1"
56,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","1,10,1,12;12,6,12,6;10,1,8,1;2,8,9,6;2,11,2,11;5,9,5,9;8,10,8,12;6,5,9,10;11,2,5,11"
57,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","10,5,8,2;11,6,1,9;10,9,11,1;8,11,6,12;6,2,9,5;12,1,11,10;1,6,10,8;5,12,2,8;2,9,12,5"
58,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,12,2,10;8,10,5,2;6,11,8,11;5,2,10,6;12,8,12,5;5,11,8,11;12,6,10,2"
59,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","1,1,2,9;1,8,6,12;8,2,9,5;11,10,10,2;5,5,12,2;8,11,12,10;10,1,11,6;12,8,5,6;9,6,9,11"
60,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,6,11,5;2,12,1,11;10,2,8,1;12,10,1,8;10,9,12,9;6,2,6,9;5,8,11,5;11,5,1,8;12,9,6,10"
61,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,6,11,6;8,10,2,10;12,1,8,9;12,2,9,1;5,9,5,11;6,9,10,8;10,8,6,12;11,12,5,1;11,2,5,1"
62,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,8,2;6,10,6,10;5,11,5,11;2,10,12,11;11,10,6,8;12,5,2,6;12,8,12,5"
63,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,8,10,9;5,8,5,9;1,6,9,6;2,6,8,5;12,11,12,11;10,2,1,8;1,9,12,10;6,11,2,12;5,1,10,2"
64,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,1,5,9;10,2,11,8;2,5,2,1;6,12,9,6;11,8,11,8;10,9,10,9;11,12,6,12;10,6,2,1;1,8,5,12"
65,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","11,2,12,11;8,5,10,2;5,8,10,6;12,8,6,12;8,11,6,12;5,2,10,6;2,5,11,10"
66,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,10,9,8;9,6,2,6;11,5,1,12;9,1,12,1;5,9,10,12;11,10,2,5;11,12,8,1;11,2,6,5;6,8,10,8"
67,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,5,9,1;1,5,2,10;9,5,10,8;2,8,11,2;10,12,9,12;12,9,6,12;8,6,2,1;5,6,8,10;11,6,1,11"
68,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,8,6,8;10,11,10,2;11,5,12,8;5,10,12,6;6,11,10,2;2,11,2,12;12,6,5,8"
69,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","9,6,8,6;2,10,8,10;12,2,12,2;11,5,12,11;11,1,10,11;10,6,8,6;5,9,5,1;9,12,9,1;5,1,8,2"
70,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,11,10,12;9,8,2,9;12,6,9,10;5,6,10,11;8,2,8,5;1,9,6,2;5,1,12,8;11,1,12,6;10,1,11,5"
71,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,8,2,8;5,12,2,10;8,11,2,6;12,11,12,10;8,10,6,10;5,11,6,5;2,11,5,12"
