Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
11,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","9,12,9,2;5,12,8,2;2,2,5,1;11,6,7,8;8,7,11,1;12,11,11,6;8,5,1,12;6,7,1,5;7,9,9,6"
12,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,7,9,2;7,1,6,8;6,2,2,9;8,9,6,7;6,11,2,7;8,9,11,1;1,8,1,11"
13,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,1,7,12;5,9,11,6;11,2,12,7;1,9,9,7;2,7,12,2;8,2,5,8;1,5,11,9;12,8,11,1;5,6,8,6"
14,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","7,5,12,6;8,2,11,5;2,9,11,2;9,8,8,6;5,1,5,7;1,9,2,12;11,12,6,1;7,12,7,8;6,1,11,9"
15,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,11,6,7;7,2,9,6;7,11,1,6;11,8,1,7;9,1,1,9;6,2,8,11;2,8,9,2"
16,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","9,11,6,8;12,1,5,7;7,11,1,9;11,6,6,12;8,5,6,8;5,5,2,7;1,2,9,12;7,9,8,2;11,12,2,1"
17,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","12,9,7,11;2,9,9,7;8,8,6,8;12,1,5,1;11,12,7,9;11,6,5,5;12,1,6,8;6,2,2,11;1,5,7,2"
18,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,1,11,9;2,6,8,7;11,1,6,2;2,9,2,7;9,7,8,8;8,1,6,6;9,7,1,11"
19,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,11,5,1;1,2,9,12;9,2,12,6;8,12,1,11;7,5,11,5;5,8,9,7;7,8,9,7;12,6,1,11;2,2,6,8"
20,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","12,2,5,11;2,8,6,12;7,12,1,9;6,8,11,7;6,11,9,9;5,6,1,1;8,2,2,11;5,7,9,12;7,5,8,1"
21,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,11,8,9;2,2,11,9;9,8,6,1;2,7,7,11;6,1,8,7;6,9,1,8;7,1,11,2"
22,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","7,8,9,11;11,2,2,2;11,6,8,2;9,6,8,6;1,1,7,9;6,5,12,12;9,11,12,1;5,7,7,12;1,8,5,5"
23,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","6,11,5,1;7,7,7,8;11,5,11,9;1,6,9,2;2,5,9,1;7,12,9,2;11,5,8,6;12,1,12,8;12,6,2,8"
24,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,6,7,2;9,11,8,7;9,7,9,8;11,1,2,6;8,6,1,6;8,2,1,1;2,11,7,9"
25,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,7,7,8;2,1,9,9;1,1,5,12;9,12,2,8;11,6,8,2;11,12,5,11;5,5,6,8;6,9,6,2;12,7,1,7"
26,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,11,12,11;5,9,1,11;5,5,7,11;12,9,9,1;2,1,2,7;8,8,1,8;6,5,7,8;7,2,6,12;9,6,6,12"
27,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,2,11,9;6,8,2,11;2,1,1,7;7,11,9,6;1,2,7,8;6,7,9,6;1,9,8,8"
28,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,8,1;2,6,2,5;7,11,9,9;11,7,1,9;5,12,8,8;1,12,7,1;5,6,2,5;7,6,12,11;6,11,9,12"
29,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","6,9,7,8;7,8,5,1;2,11,12,7;6,2,2,11;1,6,9,5;12,9,5,1;8,1,7,9;5,12,11,6;8,2,12,11"
30,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","1,11,7,1;2,8,9,7;8,6,2,2;6,7,11,6;6,8,11,11;9,9,1,8;7,9,2,1;"
31,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","5,2,2,12;1,5,7,8;1,8,9,11;7,8,7,9;12,6,2,11;5,12,6,11;1,1,2,6;6,7,8,5;9,9,12,11;"
32,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","1,12,9,6;2,9,12,11;9,5,8,12;6,8,6,8;7,11,1,1;2,9,7,5;11,12,11,2;7,1,2,7;5,8,5,6;"
33,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","11,8,2,8;11,7,11,11;6,7,2,9;8,1,9,1;8,7,9,2;1,2,6,9;1,6,6,7;"
34,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","12,11,11,2;9,1,12,6;12,11,7,2;9,11,8,1;5,2,6,6;1,5,5,9;2,12,8,8;7,9,5,8;7,1,7,6;"
35,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,2,1,1;1,1,1,1;1,1,2,1;1,1,2,1;","6,11,12,5;5,12,5,8;11,6,8,8;5,9,7,12;11,2,7,8;1,1,2,12;6,2,9,7;6,2,1,9;11,7,1,9;"
36,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","7,2,6,11;1,8,2,1;11,1,9,9;8,2,8,9;7,9,1,7;8,7,11,2;11,6,6,6;"
37,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","7,7,1,1;8,6,12,5;11,8,1,12;12,8,5,6;7,5,12,2;2,5,2,9;11,11,7,9;6,2,11,9;6,1,8,9;"
38,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","7,6,11,6;1,2,2,11;5,8,9,7;11,1,8,12;6,12,7,1;12,9,5,5;8,8,9,1;5,12,7,6;2,11,9,2;"
39,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","8,9,7,1;2,9,7,1;8,7,11,6;9,2,11,1;11,6,2,9;6,6,8,7;8,2,1,11;"
40,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","1,8,12,9;2,12,11,7;9,12,8,7;6,6,1,8;5,8,11,7;2,1,11,5;1,9,5,6;11,7,12,6;9,5,2,2"
41,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,2,1,2;1,1,1,1;1,2,1,1;1,1,1,1;","11,7,6,7;12,8,9,9;12,7,2,5;2,5,9,8;2,8,8,6;11,1,5,1;11,12,12,2;6,1,6,7;5,9,11,1;"
42,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","2,7,6,8;11,6,6,7;11,1,1,2;7,9,7,11;8,11,2,1;8,8,9,9;6,1,9,2;"
43,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,7,8,11;11,9,2,2;1,9,7,2;9,5,5,7;6,12,12,11;12,2,5,5;8,6,11,7;6,1,1,8;8,12,6,1;"
44,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","1,11,1,8;2,5,6,5;7,5,7,12;2,8,6,6;12,12,2,2;7,9,9,11;1,5,6,11;12,8,9,1;11,9,7,8;"
45,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","6,7,1,8;7,1,9,6;11,2,6,11;2,8,9,2;11,1,8,9;6,7,7,2;1,8,11,9;"
46,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","7,12,2,6;8,5,6,1;11,1,11,8;7,11,2,2;9,8,12,6;9,1,9,12;5,8,5,1;11,2,7,9;5,6,12,7;"
47,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","9,2,9,6;6,12,11,7;7,7,1,9;2,5,11,12;8,1,12,9;7,1,5,11;8,5,12,6;6,11,8,2;2,1,8,5;"
48,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","2,9,7,1;11,11,6,9;7,2,8,9;6,11,11,1;2,9,1,6;8,6,2,1;8,7,7,8;"
49,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,11,11,7;9,2,5,5;12,9,8,1;1,9,5,11;12,7,8,1;12,8,8,2;6,7,1,2;6,7,6,6;11,2,5,12;"
50,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","2,9,1,9;2,11,8,1;11,11,12,6;12,8,12,7;7,7,6,5;1,6,6,9;9,2,8,8;5,5,12,11;1,5,2,7;"
51,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,1,6,2;2,1,2,11;7,7,9,6;9,11,2,11;8,6,7,8;6,8,11,9;1,7,8,1;"
52,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","8,5,9,5;8,2,11,5;1,12,2,2;6,9,1,6;8,7,9,5;7,7,6,12;12,11,6,12;11,1,9,7;2,8,1,11;"
53,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","5,1,5,6;11,9,9,5;8,1,11,11;8,2,1,2;7,7,5,6;2,2,12,9;6,7,8,9;6,8,11,1;7,12,12,12;"
54,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,11,8,8;11,9,9,6;6,8,2,2;9,7,6,9;1,2,1,1;7,11,8,1;7,11,2,7"
55,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,12,12,12;1,6,5,8;11,5,2,9;11,5,5,8;8,7,2,11;7,9,7,2;11,1,6,12;6,2,8,1;1,7,9,6;"
56,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","9,12,1,5;5,8,9,11;8,2,12,1;9,1,7,8;12,5,7,12;2,8,1,6;7,11,7,6;11,11,2,2;6,6,5,9;"
57,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","11,8,9,6;8,6,7,1;11,7,2,7;7,1,8,8;11,2,9,1;6,9,1,11;2,9,2,6;"
58,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","7,8,11,6;7,9,2,2;9,11,5,8;1,6,1,7;7,12,1,9;1,11,6,8;6,5,2,8;5,12,5,2;12,12,11,9;"
59,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","5,7,2,9;12,12,8,7;5,11,1,6;8,2,9,1;6,11,1,8;5,8,7,6;9,12,11,7;6,5,12,11;9,2,1,2;"
60,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","8,2,7,2;7,1,2,1;2,11,7,9;9,6,6,11;8,8,1,9;7,8,11,6;1,9,6,11;"
61,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","6,8,9,7;9,5,6,12;9,1,12,7;2,1,5,12;5,6,11,8;2,12,11,1;5,8,8,9;6,1,11,7;2,11,7,2;"
62,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","7,12,6,6;12,1,2,5;7,12,1,9;11,9,11,8;2,6,5,5;9,7,2,12;2,6,11,1;11,8,7,5;8,8,9,1;"
63,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2;0,8","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","7,8,6,8;7,9,2,2;1,6,11,9;9,6,8,1;11,7,9,11;6,11,2,8;7,1,1,2;"
64,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","8,2,8,6;6,7,12,8;8,1,9,1;9,11,11,12;5,6,12,7;2,9,5,5;11,7,7,6;11,5,2,12;1,9,2,1;"
