Level,LevelType,LevelArrangement,ScrewTypes,ScrewCapacities,ScrewPositions,NutTypes,NutColors
14,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,11,11,8;7,6,2,9;2,7,1,1;6,9,11,9;2,9,6,11;8,1,1,7;8,6,2,7"
15,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","4,10,6,12;9,10,9,12;9,10,4,4;9,4,6,6;6,12,10,12"
16,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,6,5,8;5,8,11,11;2,12,2,12;12,12,2,2;6,6,8,5;8,5,11,11"
17,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,2,8,5;6,6,2,1;11,1,11,1;5,9,12,5;9,8,8,9;7,1,7,2;2,7,8,6;12,9,7,6;11,5,11,12"
18,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","4,12,9,12;10,4,10,6;9,6,6,9;6,12,10,4;9,10,12,4"
19,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,2,2,2;8,6,12,11;8,6,12,11;6,5,5,5;2,12,11,11;8,8,6,12"
20,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","7,8,7,11;5,7,11,2;2,12,5,9;8,12,6,9;1,8,6,9;12,5,6,1;6,5,9,2;7,2,8,12;1,11,1,11"
21,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","4,12,10,6;6,4,10,6;9,12,12,10;6,9,9,10;4,4,9,12"
22,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","10,12,11,12;2,10,2,2;11,11,12,11;5,8,5,10;12,2,6,10;6,6,5,6;8,5,8,8"
23,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,1,8,9;11,2,8,11;7,9,2,11;7,11,8,8;7,6,9,1;9,7,6,1;1,2,6,6"
24,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","10,12,7,7;4,12,4,6;12,9,9,6;10,6,7,9;7,9,6,10;5,5,10,4;12,5,5,4"
25,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","11,12,2,6;5,2,8,11;2,5,11,6;5,12,11,12;8,10,6,2;8,10,6,12;10,8,10,5"
26,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4;0,10","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","12,2,11,1;11,11,5,1;7,8,1,6;12,5,9,9;9,8,2,12;8,6,2,8;1,9,5,7;12,6,6,7;2,5,7,11;"
27,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","7,10,12,4;10,10,4,7;5,12,6,6;5,4,6,4;9,6,10,5;9,7,9,9;12,12,5,7;"
28,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,6,6,12;12,5,8,8;5,11,2,2;6,8,12,6;5,8,11,2;5,11,2,11"
29,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","9,12,9,2;5,12,8,2;2,2,5,1;11,6,7,8;8,7,11,1;12,11,11,6;8,5,1,12;6,7,1,5;7,9,9,6"
30,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","6,10,12,9;12,12,6,4;4,6,4,9;12,10,9,4;6,10,9,10;"
31,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,2,8,2;11,6,5,5;11,2,12,2;6,12,6,8;8,12,8,12;5,5,11,6"
32,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,7,9,2;7,1,6,8;6,2,2,9;8,9,6,7;6,11,2,7;8,9,11,1;1,8,1,11"
33,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","5,7,6,5;10,12,6,4;5,4,10,12;5,12,12,9;9,4,10,7;7,4,9,6;10,9,7,6;"
34,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,6,5,5;11,5,2,12;2,12,2,12;6,8,6,8;11,11,12,8;11,5,2,8"
35,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,1,7,12;5,9,11,6;11,2,12,7;1,9,9,7;2,7,12,2;8,2,5,8;1,5,11,9;12,8,11,1;5,6,8,6"
36,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","10,6,5,10;5,12,5,9;9,6,7,4;4,4,4,7;6,12,9,10;12,7,9,7;10,5,12,6;"
37,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,10,10,6;6,12,11,8;10,2,6,10;12,8,5,6;11,5,11,5;11,8,5,2;12,2,8,2"
38,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","7,5,12,6;8,2,11,5;2,9,11,2;9,8,8,6;5,1,5,7;1,9,2,12;11,12,6,1;7,12,7,8;6,1,11,9"
39,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","4,9,10,10;9,12,12,4;6,10,4,6;9,6,4,6;12,10,12,9;"
40,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,2,2,2;1,1,2,2;1,2,2,2;1,1,2,2;1,2,2,2;1,2,2,2","6,8,5,12;5,5,12,8;11,2,6,2;11,11,2,5;11,6,2,12;8,6,12,8"
41,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,11,6,7;7,2,9,6;7,11,1,6;11,8,1,7;9,1,1,9;6,2,8,11;2,8,9,2"
42,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,7,5,12;10,6,6,10;7,12,4,7;10,4,10,5;12,4,4,6;5,6,7,5;9,9,12,9;"
43,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,5,2,12;6,8,5,8;11,6,11,12;2,6,5,5;2,12,11,8;12,11,2,8"
44,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","9,11,6,8;12,1,5,7;7,11,1,9;11,6,6,12;8,5,6,8;5,5,2,7;1,2,9,12;7,9,8,2;11,12,2,1"
45,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","12,5,9,12;10,9,6,10;12,10,4,6;5,4,7,5;9,7,10,5;4,12,6,4;7,7,6,9;"
46,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,2,12,2;6,10,5,12;8,5,12,11;11,2,11,12;5,6,10,6;8,11,2,6;8,10,5,10"
47,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","12,9,7,11;2,9,9,7;8,8,6,8;12,1,5,1;11,12,7,9;11,6,5,5;12,1,6,8;6,2,2,11;1,5,7,2"
48,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","12,4,4,6;10,4,9,12;12,10,6,9;12,10,4,9;9,10,6,6;"
49,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,2,8,5;5,11,10,8;8,5,2,10;6,10,12,6;2,12,5,2;11,8,10,6;12,11,11,12"
50,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,1,11,9;2,6,8,7;11,1,6,2;2,9,2,7;9,7,8,8;8,1,6,6;9,7,1,11"
51,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","10,5,12,4;6,6,10,12;7,12,6,9;5,6,5,12;10,10,9,9;7,5,4,4;7,7,9,4;"
52,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,11,8,8;5,10,2,6;5,12,5,12;8,5,8,10;11,11,6,2;10,2,12,10;12,6,6,2"
53,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,11,5,1;1,2,9,12;9,2,12,6;8,12,1,11;7,5,11,5;5,8,9,7;7,8,9,7;12,6,1,11;2,2,6,8"
54,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","12,5,4,4;5,10,9,7;6,5,6,9;6,9,4,4;7,5,12,10;12,7,10,7;6,9,10,12;"
55,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","5,5,10,2;12,10,2,11;10,6,8,2;11,8,5,8;5,11,11,8;6,2,12,12;10,12,6,6"
56,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","12,2,5,11;2,8,6,12;7,12,1,9;6,8,11,7;6,11,9,9;5,6,1,1;8,2,2,11;5,7,9,12;7,5,8,1"
57,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","4,6,9,12;4,10,10,9;9,10,12,6;10,12,4,4;6,12,6,9;"
58,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","12,5,6,8;12,2,12,5;5,8,8,12;2,2,6,5;6,8,2,6"
59,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,11,8,9;2,2,11,9;9,8,6,1;2,7,7,11;6,1,8,7;6,9,1,8;7,1,11,2"
60,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","6,6,9,7;12,4,5,5;6,10,4,7;6,9,10,7;9,10,7,12;5,4,5,12;4,9,12,10;"
61,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,12,6,5;12,6,8,1;12,6,8,8;2,11,10,1;2,10,5,5;12,6,8,1;2,11,11,1;2,10,5,10"
62,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","7,8,9,11;11,2,2,2;11,6,8,2;9,6,8,6;1,1,7,9;6,5,12,12;9,11,12,1;5,7,7,12;1,8,5,5"
63,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","5,10,7,6;10,12,12,7;5,4,10,6;9,6,10,12;5,4,12,6;5,9,7,9;7,9,4,4;"
64,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","5,2,6,11;11,12,8,8;5,11,11,12;2,2,12,6;8,6,6,8;2,5,12,5"
65,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","6,11,5,1;7,7,7,8;11,5,11,9;1,6,9,2;2,5,9,1;7,12,9,2;11,5,8,6;12,1,12,8;12,6,2,8"
66,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","6,9,12,10;4,4,4,10;9,9,12,12;9,6,10,12;4,6,10,6;"
67,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","6,10,8,5;8,6,8,11;2,5,6,12;5,2,12,11;10,12,10,8;11,6,5,10;2,11,12,2"
68,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,6,7,2;9,11,8,7;9,7,9,8;11,1,2,6;8,6,1,6;8,2,1,1;2,11,7,9"
69,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","9,7,9,12;6,7,4,4;9,5,5,12;6,7,10,5;12,6,5,4;10,7,6,9;4,12,10,10;"
70,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","5,12,6,12;2,11,5,11;2,8,11,10;8,12,6,6;2,11,10,5;6,5,12,8;2,10,8,10"
71,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,7,7,8;2,1,9,9;1,1,5,12;9,12,2,8;11,6,8,2;11,12,5,11;5,5,6,8;6,9,6,2;12,7,1,7"
72,0,8,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","8,0;8,2;8,4;8,6;4,1;4,3;4,5;0,5","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;","12,6,7,9;5,9,10,10;12,6,6,12;5,5,10,9;10,7,4,6;12,9,4,7;7,4,4,5;"
73,0,36,"1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;4,9;0,0;0,2;0,4","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","8,10,1,1;2,6,2,8;5,11,5,11;10,8,1,12;2,6,2,10;8,6,5,5;6,11,11,12;10,12,1,12"
74,0,31,"1,1,1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;4,10;0,0;0,2;0,4","1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2;1,2,2,2","2,11,12,11;5,9,1,11;5,5,7,11;12,9,9,1;2,1,2,7;8,8,1,8;6,5,7,8;7,2,6,12;9,6,6,12"
75,0,9,"1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;0,0;0,6","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;","12,4,4,6;6,10,9,9;4,12,12,10;6,6,10,9;9,12,10,4;"
76,0,35,"1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4","4,1;4,3;4,5;4,7;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","2,12,5,11;6,12,11,8;6,2,11,8;2,11,8,8;5,5,6,12;2,6,12,5"
77,0,32,"1,1,1,1,1,1,1,1,1,2","4,4,4,4,4,4,4,4,4,4","4,0;4,2;4,4;4,6;4,8;0,0;0,2","1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1;1,1,1,1","11,2,11,9;6,8,2,11;2,1,1,7;7,11,9,6;1,2,7,8;6,7,9,6;1,9,8,8"
